Will i want?;Хочу ли я?
He doesn't try.;Он не пытается.
He tres.;Он Трес.
Did he try?;Он пытался?
He didn't try.;Он не пытался.
He tried.;Он пытался.
Will she try?;Она попробует?
She will not try.;Она не будет пытаться.
She will try.;Она попробует.
Does she try?;Она пытается?
She doesn't try.;Она не пытается.
She tres.;Она Трес.
Did she try?;Она пыталась?
She didn't try.;Она не пыталась.
She tried.;Она пыталась.
Will i ask?;Я спрошу?
I will not ask.;Я не буду спрашивать.
I will ask.;Я спрошу.
Do i ask?;Я спрашиваю?
I don't ask.;Я не спрашиваю
I ask.;Я спрашиваю.
Did i ask?;Я спросил?
I didn't ask.;Я не спрашивал.
I  спрашивать.;Я спрашивать.
Will you ask?;Ты спросишь?
You will not ask.;Вы не спросите.
You will ask.;Вы спросите.
Do you ask?;Ты спрашиваешь?
You don't ask.;Вы не спрашиваете.
You ask.;Ты спрашиваешь.
Did you ask?;Ты спросил?
You didn't ask.;Вы не спрашивали.
You  спрашивать.;Вы спрашиваете.
Will we ask?;Будем ли мы спрашивать?
We will not ask.;Мы не будем спрашивать.
We will ask.;Мы спросим.
Do we ask?;Мы спрашиваем?
We don't ask.;Мы не просим.
We ask.;Мы просим.
Did we ask?;Мы спрашивали?
We didn't ask.;Мы не спрашивали.
We  спрашивать.;Мы спрашивать.
Will they ask?;Будут ли они спрашивать?
They will not ask.;Они не будут спрашивать.
They will ask.;Они спросят.
Do they ask?;Они спрашивают?
They don't ask.;Они не спрашивают.
They ask.;Они спрашивают.
Did they ask?;Они спрашивали?
They didn't ask.;Они не спрашивали.
They  спрашивать.;Они спрашивают.
Will he ask?;Будет ли он спросить?
He will not ask.;Он не спросит.
He will ask.;Он спросит.
Does he ask?;Он спрашивает?
He doesn't ask.;Он не спрашивает.
He askes.;Он спрашивает.
Did he ask?;Он спросил?
He didn't ask.;Он не спрашивал.
He  спрашивать.;Он спрашивать.
Will she ask?;Она спросит?
She will not ask.;Она не спросит.
She will ask.;Она спросит.
Does she ask?;Она спрашивает?
She doesn't ask.;Она не спрашивает.
She askes.;Она спрашивает.
Did she ask?;Она спросила?
She didn't ask.;Она не спрашивала.
She  спрашивать.;Она спрашивать.
Will i need?;Понадобится ли мне?
I will not need.;Я не буду нуждаться.
I will need.;Мне понадобится.
Do i need?;Нужно ли мне?
I don't need.;Мне не нужно
I need.;Я нуждаюсь.
Did i need?;Мне нужно?
I didn't need.;Мне не нужно
I needed.;Мне было нужно.
Will you need?;Вам понадобится?
You will not need.;Вам не понадобится.
You will need.;Тебе понадобится.
Do you need?;Тебе нужно?
You don't need.;Вам не нужно.
You need.;Тебе нужно.
Did you need?;Вам нужно?
You didn't need.;Вам не нужно.
You needed.;Тебе нужно было.
Will we need?;Будем ли мы нужны?
We will not need.;Нам не нужно будет.
We will need.;Нам понадобится.
Do we need?;Нам нужно?
We don't need.;Нам не нужно.
We need.;Нам нужно.
Did we need?;Нужно ли нам?
We didn't need.;Нам не нужно.
We needed.;Нам нужно.
Will they need?;Будут ли они нужны?
They will not need.;Они не будут нужны.
They will need.;Они будут нужны.
Do they need?;Они нужны?
They don't need.;Им не нужно.
They need.;Им нужно.
Did they need?;Они были нужны?
They didn't need.;Им не нужно.
They needed.;Они нужны.
Will he need?;Он будет нужен?
He will not need.;Он не понадобится.
He will need.;Он понадобится
Does he need?;Он нужен?
He doesn't need.;Ему не нужно.
He needes.;Он нуждается.
Did he need?;Он нужен?
He didn't need.;Ему не нужно.
He needed.;Он нуждался.
Will she need?;Она будет нужна?
She will not need.;Она не понадобится.
She will need.;Она понадобится
Does she need?;Она нужна?
She doesn't need.;Она не нуждается
She needes.;Она нужна.
Did she need?;Она нужна?
She didn't need.;Она не нуждалась.
She needed.;Она нужна.
Will i seem?;Я покажу?
I will not seem.;Я не буду казаться.
I will seem.;Я покажу
Do i seem?;Мне кажется?
I don't seem.;Мне не кажется
I seem.;Я, кажется.
Did i seem?;Мне казалось?
I didn't seem.;Я не казался.
I seemed.;Мне показалось
Will you seem?;Будешь казаться?
You will not seem.;Вы не будете казаться.
You will seem.;Вы будете казаться.
Do you seem?;Ты кажешься?
You don't seem.;Ты не выглядишь.
You seem.;Ты кажешься.
Did you seem?;Вы казались?
You didn't seem.;Вы не казались.
You seemed.;Вы, казалось.
Will we seem?;Будем ли мы казаться?
We will not seem.;Мы не будем казаться.
We will seem.;Мы покажемся
Do we seem?;Мы кажемся?
We don't seem.;Нам не кажется.
We seem.;Нам кажется.
Did we seem?;Мы казались?
We didn't seem.;Мы не казались.
We seemed.;Мы казались.
Will they seem?;Будут ли они казаться?
They will not seem.;Они не будут казаться.
They will seem.;Они будут казаться.
Do they seem?;Они кажутся?
They don't seem.;Они не кажутся.
They seem.;Они кажутся.
Did they seem?;Они казались?
They didn't seem.;Они не казались.
They seemed.;Они казались.
Will he seem?;Будет ли он казаться?
He will not seem.;Он не будет казаться.
He will seem.;Он покажется
Does he seem?;Кажется ли он?
He doesn't seem.;Он не кажется
He seemes.;Он кажется.
Did he seem?;Он казался?
He didn't seem.;Он не казался.
He seemed.;Он казался.
Will she seem?;Будет ли она казаться?
She will not seem.;Она не будет казаться.
She will seem.;Она покажется
Does she seem?;Кажется ли она?
She doesn't seem.;Она не кажется
She seemes.;Она кажется.
Did she seem?;Она казалась?
She didn't seem.;Она не казалась.
She seemed.;Она казалась
Will i help?;Я помогу?
I will not help.;Я не помогу
I will help.;Я помогу.
Do i help?;Я помогу?
I don't help.;Я не помогаю
I help.;Я помогаю.
Did i help?;Я помог?
I didn't help.;Я не помог
I helped.;Я помог.
Will you help?;Ты поможешь?
You will not help.;Ты не поможешь.
You will help.;Вы поможете
Do you help?;Ты поможешь?
You don't help.;Ты не помогаешь.
You help.;Вы поможете.
Did you help?;Ты помог?
You didn't help.;Ты не помог.
You helped.;Вы помогли
Will we help?;Мы поможем?
We will not help.;Мы не поможем.
We will help.;Мы поможем
Do we help?;Мы помогаем?
We don't help.;Мы не помогаем
We help.;Мы поможем.
Did we help?;Мы помогли?
We didn't help.;Мы не помогли.
We helped.;Мы помогли
Will they help?;Они помогут?
They will not help.;Они не помогут.
They will help.;Они помогут
Do they help?;Они помогают?
They don't help.;Они не помогают
They help.;Они помогают.
Did they help?;Они помогли?
They didn't help.;Они не помогли.
They helped.;Они помогли.
Will he help?;Он поможет?
He will not help.;Он не поможет.
He will help.;Он поможет
Does he help?;Он помогает?
He doesn't help.;Он не помогает
He helpes.;Он помогает.
Did he help?;Он помог?
He didn't help.;Он не помог.
He helped.;Он помог.
Will she help?;Она поможет?
She will not help.;Она не поможет
She will help.;Она поможет
Does she help?;Она помогает?
She doesn't help.;Она не помогает
She helpes.;Она помогает.
Did she help?;Она помогла?
She didn't help.;Она не помогла.
She helped.;Она помогла.
Will i show?;Я покажу?
I will not show.;Не покажу.
I will show.;Я покажу.
Do i show?;Я покажу?
I don't show.;Я не показываю
I show.;Я показываю.
Did i show?;Я показывал?
I didn't show.;Я не показывал.
I showed.;Я показал.
Will you show?;Ты покажешь?
You will not show.;Вы не будете показывать.
You will show.;Ты покажешь.
Do you show?;Ты показываешь?
You don't show.;Вы не показываете.
You show.;Вы показываете.
Did you show?;Ты показывал?
You didn't show.;Вы не показали.
You showed.;Вы показали.
Will we show?;Мы покажем?
We will not show.;Мы не будем показывать.
We will show.;Мы покажем.
Do we show?;Мы показываем?
We don't show.;Мы не показываем.
We show.;Мы показываем.
Did we show?;Мы показали?
We didn't show.;Мы не показывали.
We showed.;Мы показали.
Will they show?;Они покажут?
They will not show.;Они не будут показывать.
They will show.;Они покажут.
Do they show?;Они показывают?
They don't show.;Они не показывают.
They show.;Они показывают.
Did they show?;Они показали?
They didn't show.;Они не показывали.
They showed.;Они показали.
Will he show?;Он покажет?
He will not show.;Он не покажет.
He will show.;Он покажет.
Does he show?;Он показывает?
He doesn't show.;Он не показывает.
He showes.;Он показывает.
Did he show?;Он показал?
He didn't show.;Он не показывался.
He showed.;Он показал.
Will she show?;Она покажет?
She will not show.;Она не покажет.
She will show.;Она покажет.
Does she show?;Она показывает?
She doesn't show.;Она не показывает
She showes.;Она показывает.
Did she show?;Она показала?
She didn't show.;Она не показывала.
She showed.;Она показала.
Will i play?;Я буду играть?
I will not play.;Я не буду играть.
I will play.;Я буду играть.
Do i play?;Я играю?
I don't play.;Я не играю
I play.;Я играю.
Did i play?;Я играл?
I didn't play.;Я не играл.
I played.;Я играл.
Will you play?;Будешь играть?
You will not play.;Вы не будете играть.
You will play.;Вы будете играть.
Do you play?;Ты играешь?
You don't play.;Ты не играешь.
You play.;Ты играешь.
Did you play?;Ты играл?
You didn't play.;Ты не играл.
You played.;Ты играл.
Will we play?;Мы будем играть?
We will not play.;Мы не будем играть.
We will play.;Мы сыграем.
Do we play?;Мы играем?
We don't play.;Мы не играем.
We play.;Мы играем.
Did we play?;Мы играли?
We didn't play.;Мы не играли.
We played.;Мы играли.
Will they play?;Будут ли они играть?
They will not play.;Они не будут играть.
They will play.;Они будут играть.
Do they play?;Они играют?
They don't play.;Они не играют.
They play.;Они играют.
Did they play?;Они играли?
They didn't play.;Они не играли.
They played.;Они играли.
Will he play?;Будет ли он играть?
He will not play.;Он не будет играть.
He will play.;Он будет играть
Does he play?;Он играет?
He doesn't play.;Он не играет.
He plaes.;Он плачет.
Did he play?;Он играл?
He didn't play.;Он не играл.
He played.;Он играл.
Will she play?;Будет ли она играть?
She will not play.;Она не будет играть.
She will play.;Она будет играть
Does she play?;Она играет?
She doesn't play.;Она не играет
She plaes.;Она плац
Did she play?;Она играла?
She didn't play.;Она не играла.
She played.;Она играла.
Will i move?;Я перееду?
I will not move.;Я не буду двигаться.
I will move.;Я буду двигаться.
Do i move?;Я двигаюсь?
I don't move.;Я не двигаюсь.
I move.;Я двигаюсь.
Did i move?;Я переехал?
I didn't move.;Я не двигался.
I moved.;Я переехал.
Will you move?;Вы будете двигаться?
You will not move.;Вы не будете двигаться.
You will move.;Вы будете двигаться.
Do you move?;Ты двигаешься?
You don't move.;Вы не двигаетесь.
You move.;Вы двигаетесь.
Did you move?;Вы переехали?
You didn't move.;Вы не двигались.
You moved.;Вы переехали.
Will we move?;Будем ли мы двигаться?
We will not move.;Мы не будем двигаться.
We will move.;Мы будем двигаться.
Do we move?;Мы двигаемся?
We don't move.;Мы не двигаемся.
We move.;Мы движемся.
Did we move?;Мы переехали?
We didn't move.;Мы не двигались.
We moved.;Мы переехали.
Will they move?;Будут ли они двигаться?
They will not move.;Они не будут двигаться.
They will move.;Они будут двигаться.
Do they move?;Они двигаются?
They don't move.;Они не двигаются.
They move.;Они двигаются.
Did they move?;Они двигались?
They didn't move.;Они не двигались.
They moved.;Они переехали.
Will he move?;Будет ли он двигаться?
He will not move.;Он не будет двигаться.
He will move.;Он будет двигаться.
Does he move?;Он двигается?
He doesn't move.;Он не двигается.
He moves.;Он двигается.
Did he move?;Он двигался?
He didn't move.;Он не двигался.
He moved.;Он переехал.
Will she move?;Будет ли она двигаться?
She will not move.;Она не будет двигаться.
She will move.;Она будет двигаться.
Does she move?;Она двигается?
She doesn't move.;Она не двигается.
She moves.;Она двигается
Did she move?;Она двигалась?
She didn't move.;Она не двигалась.
She moved.;Она переехала.
Will i live?;Буду ли я жить?
I will not live.;Я не буду жить.
I will live.;Я буду жить.
Do i live?;Я живу?
I don't live.;Я не живу
I live.;Я живу.
Did i live?;Я жил?
I didn't live.;Я не жил.
I lived.;Я жил.
Will you live?;Ты будешь жить?
You will not live.;Вы не будете жить.
You will live.;Вы будете жить.
Do you live?;Ты живешь?
You don't live.;Ты не живешь.
You live.;Вы живете.
Did you live?;Ты жил?
You didn't live.;Ты не жил.
You lived.;Ты жИл.
Will we live?;Будем ли мы жить?
We will not live.;Мы не будем жить.
We will live.;Мы будем жить
Do we live?;Мы живем?
We don't live.;Мы не живем
We live.;Мы живем.
Did we live?;Мы жили?
We didn't live.;Мы не жили.
We lived.;Мы жили.
Will they live?;Будут ли они жить?
They will not live.;Они не будут жить.
They will live.;Они будут жить.
Do they live?;Они живут?
They don't live.;Они не живут
They live.;Они живут.
Did they live?;Они жили?
They didn't live.;Они не жили.
They lived.;Они жили.
Will he live?;Будет ли он жить?
He will not live.;Он не будет жить.
He will live.;Он будет жить
Does he live?;Он живет?
He doesn't live.;Он не живет
He lives.;Он живет.
Did he live?;Он жил?
He didn't live.;Он не жил.
He lived.;Он жил.
Will she live?;Будет ли она жить?
She will not live.;Она не будет жить.
She will live.;Она будет жить
Does she live?;Она живет?
She doesn't live.;Она не живет
She lives.;Она живет.
Did she live?;Она жила?
She didn't live.;Она не жила.
She lived.;Она жила.
Will i believe?;Буду ли я верить?
I will not believe.;Я не поверю.
I will believe.;Я буду верить
Do i believe?;Я верю?
I don't believe.;Я не верю
I believe.;Я считаю.
Did i believe?;Я верил?
I didn't believe.;Я не верила
I believed.;Я верил.
Will you believe?;Ты поверишь?
You will not believe.;Вы не поверите.
You will believe.;Вы будете верить.
Do you believe?;Ты веришь?
You don't believe.;Вы не верите.
You believe.;Ты веришь.
Did you believe?;Ты верил?
You didn't believe.;Ты не верил.
You believed.;Вы верили.
Will we believe?;Будем ли мы верить?
We will not believe.;Мы не будем верить.
We will believe.;Мы будем верить.
Do we believe?;Мы верим?
We don't believe.;Мы не верим.
We believe.;Мы верим
Did we believe?;Мы верили?
We didn't believe.;Мы не верили.
We believed.;Мы верили.
Will they believe?;Будут ли они верить?
They will not believe.;Они не поверят.
They will believe.;Они поверят.
Do they believe?;Они верят?
They don't believe.;Они не верят.
They believe.;Они верят.
Did they believe?;Они верили?
They didn't believe.;Они не верили.
They believed.;Они верили.
Will he believe?;Он поверит?
He will not believe.;Он не поверит.
He will believe.;Он поверит.
Does he believe?;Он верит?
He doesn't believe.;Он не верит.
He believes.;Он считает.
Did he believe?;Он поверил?
He didn't believe.;Он не верил.
He believed.;Он верил.
Will she believe?;Она поверит?
She will not believe.;Она не поверит.
She will believe.;Она поверит.
Does she believe?;Она верит?
She doesn't believe.;Она не верит.
She believes.;Она верит.
Did she believe?;Она поверила?
She didn't believe.;Она не верила.
She believed.;Она верила.
Will i happen?;Случится ли я?
I will not happen.;Я не произойдет.
I will happen.;Я буду
Do i happen?;Должен ли я случиться?
I don't happen.;Не бывает
I happen.;Я случилось
Did i happen?;Я случился?
I didn't happen.;Я не случилось
I happened.;Я случилось
Will you happen?;Вы случитесь?
You will not happen.;Тебя не случится.
You will happen.;Вы случитесь.
Do you happen?;Вы, случайно?
You don't happen.;Тебя не бывает.
You happen.;Вы случаетесь
Did you happen?;Ты случилось?
You didn't happen.;Тебя не случилось.
You happened.;Вы случилось
Will we happen?;Мы случимся?
We will not happen.;Мы не случимся.
We will happen.;Мы случимся
Do we happen?;Мы случаемся?
We don't happen.;У нас не бывает
We happen.;У нас бывает
Did we happen?;Мы случились?
We didn't happen.;Мы не случилось.
We happened.;У нас получилось
Will they happen?;Они случатся?
They will not happen.;Они не произойдут.
They will happen.;Они будут происходить
Do they happen?;Они случаются?
They don't happen.;Они не случаются.
They happen.;Они случаются
Did they happen?;Они случились?
They didn't happen.;Их не было
They happened.;Они произошли
Will he happen?;Будет ли он случиться?
He will not happen.;Он не случится.
He will happen.;Он случится
Does he happen?;Он случается?
He doesn't happen.;Он не бывает
He happenes.;Он случается.
Did he happen?;Он случился?
He didn't happen.;Он не случился.
He happened.;Он случился
Will she happen?;Она случится?
She will not happen.;Она не случится.
She will happen.;Она случится
Does she happen?;Она случилась?
She doesn't happen.;Она не бывает
She happenes.;Она бывает.
Did she happen?;Она случилась?
She didn't happen.;Она не произошла.
She happened.;Она случилась.
Will i include?;Я включу?
I will not include.;Я не буду включать.
I will include.;Я включу.
Do i include?;Я включаю?
I don't include.;Я не включаю.
I include.;Я включаю.
Did i include?;Я включил?
I didn't include.;Я не включил.
I included.;Я включен.
Will you include?;Будете ли вы включать?
You will not include.;Вы не будете включать.
You will include.;Вы будете включать.
Do you include?;Вы включаете?
You don't include.;Вы не включаете.
You include.;Вы включаете.
Did you include?;Вы включили?
You didn't include.;Вы не включили.
You included.;Вы включены.
Will we include?;Будем ли мы включать?
We will not include.;Мы не будем включать.
We will include.;Мы будем включать.
Do we include?;Мы включаем?
We don't include.;Мы не включаем.
We include.;Мы включаем.
Did we include?;Мы включили?
We didn't include.;Мы не включили.
We included.;Мы включены.
Will they include?;Будут ли они включать?
They will not include.;Они не будут включать.
They will include.;Они будут включать.
Do they include?;Они включают?
They don't include.;Они не включают.
They include.;Они включают.
Did they include?;Они включали?
They didn't include.;Они не включали.
They included.;Они включены.
Will he include?;Будет ли он включать?
He will not include.;Он не будет включать.
He will include.;Он будет включать.
Does he include?;Он включает?
He doesn't include.;Он не включает.
He includes.;Он включает.
Did he include?;Он включил?
He didn't include.;Он не включал.
He included.;Он включен.
Will she include?;Будет ли она включать?
She will not include.;Она не будет включать.
She will include.;Она будет включать.
Does she include?;Она включает?
She doesn't include.;Она не включает.
She includes.;Она включает.
Did she include?;Она включала?
She didn't include.;Она не включала.
She included.;Она включена.
Will i continue?;Буду ли я продолжать?
I will not continue.;Я не буду продолжать.
I will continue.;Я продолжу.
Do i continue?;Я продолжаю?
I don't continue.;Я не продолжаю.
I continue.;Я продолжаю.
Did i continue?;Я продолжил?
I didn't continue.;Я не продолжил.
I continued.;Я продолжил.
Will you continue?;Вы продолжите?
You will not continue.;Вы не будете продолжать.
You will continue.;Вы будете продолжать.
Do you continue?;Вы продолжаете?
You don't continue.;Вы не продолжаете.
You continue.;Ты продолжай.
Did you continue?;Вы продолжили?
You didn't continue.;Вы не продолжили.
You continued.;Вы продолжили.
Will we continue?;Будем ли мы продолжать?
We will not continue.;Мы не будем продолжать.
We will continue.;Мы продолжим.
Do we continue?;Продолжаем ли мы?
We don't continue.;Мы не продолжаем.
We continue.;Мы продолжаем.
Did we continue?;Мы продолжили?
We didn't continue.;Мы не продолжили.
We continued.;Мы продолжили.
Will they continue?;Будут ли они продолжать?
They will not continue.;Они не будут продолжаться.
They will continue.;Они будут продолжаться.
Do they continue?;Они продолжают?
They don't continue.;Они не продолжаются.
They continue.;Они продолжаются.
Did they continue?;Они продолжали?
They didn't continue.;Они не продолжили.
They continued.;Они продолжили.
Will he continue?;Будет ли он продолжать?
He will not continue.;Он не будет продолжать.
He will continue.;Он продолжит.
Does he continue?;Он продолжает?
He doesn't continue.;Он не продолжает.
He continues.;Он продолжает.
Did he continue?;Он продолжил?
He didn't continue.;Он не продолжил.
He continued.;Он продолжил.
Will she continue?;Она продолжит?
She will not continue.;Она не продолжит.
She will continue.;Она продолжит.
Does she continue?;Она продолжает?
She doesn't continue.;Она не продолжает.
She continues.;Она продолжает.
Did she continue?;Она продолжила?
She didn't continue.;Она не продолжала.
She continued.;Она продолжала.
Will i learn?;Я буду учиться?
I will not learn.;Я не буду учиться.
I will learn.;Я выучу.
Do i learn?;Я учусь?
I don't learn.;Я не учусь
I learn.;Я учу.
Did i learn?;Я учился?
I didn't learn.;Я не учился.
I learnt / learned.;Я узнал / узнал.
Will you learn?;Ты будешь учиться?
You will not learn.;Вы не будете учиться.
You will learn.;Ты выучишь.
Do you learn?;Вы учитесь?
You don't learn.;Вы не учитесь.
You learn.;Ты учишь.
Did you learn?;Ты учил?
You didn't learn.;Ты не учился.
You learnt / learned.;Вы узнали / узнали.
Will we learn?;Будем ли мы учиться?
We will not learn.;Мы не будем учиться.
We will learn.;Мы узнаем.
Do we learn?;Мы учимся?
We don't learn.;Мы не учимся.
We learn.;Мы учим.
Did we learn?;Мы узнали?
We didn't learn.;Мы не учились.
We learnt / learned.;Мы узнали / узнали.
Will they learn?;Будут ли они учиться?
They will not learn.;Они не будут учиться.
They will learn.;Они будут учиться.
Do they learn?;Они учатся?
They don't learn.;Они не учатся.
They learn.;Они учатся.
Did they learn?;Они учились?
They didn't learn.;Они не учились.
They learnt / learned.;Они учились / учились.
Will he learn?;Будет ли он учиться?
He will not learn.;Он не будет учиться.
He will learn.;Он научится
Does he learn?;Он учится?
He doesn't learn.;Он не учится.
He learnes.;Он учится
Did he learn?;Он учился?
He didn't learn.;Он не учился.
He learnt / learned.;Он учился / учился.
Will she learn?;Будет ли она учиться?
She will not learn.;Она не будет учиться.
She will learn.;Она научится
Does she learn?;Она учится?
She doesn't learn.;Она не учится.
She learnes.;Она учится
Did she learn?;Она научилась?
She didn't learn.;Она не училась.
She learnt / learned.;Она училась / училась.
Will i change?;Я поменяюсь?
I will not change.;Я не буду меняться.
I will change.;Я изменюсь.
Do i change?;Я изменяю?
I don't change.;Я не меняюсь.
I change.;Я меняю.
Did i change?;Я изменился?
I didn't change.;Я не изменился.
I changed.;Я изменился.
